127.0.0.1 - - [09/Nov/2017:19:48:03 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:48:04 +0800] "GET /DataStructureHelper/index.html HTTP/1.1" 200 7144
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:48:04 +0800] "GET /DataStructureHelper/static/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:48:04 +0800] "GET /DataStructureHelper/static/css/font-awesome.min.css HTTP/1.1" 200 29067
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:48:04 +0800] "GET /DataStructureHelper/static/vendor/jquery/jquery.min.js HTTP/1.1" 200 86351
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:48:04 +0800] "GET /DataStructureHelper/static/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:48:04 +0800] "GET /DataStructureHelper/static/vendor/sb-admin-2/sb-admin-2.min.css HTTP/1.1" 200 6777
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:48:04 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121195
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:48:04 +0800] "GET /DataStructureHelper/static/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:48:04 +0800] "GET /DataStructureHelper/static/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:48:04 +0800] "GET /DataStructureHelper/static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:48:04 +0800] "GET /DataStructureHelper/static/js/jquery-1.8.2.min.js HTTP/1.1" 200 93436
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:48:04 +0800] "GET /DataStructureHelper/static/vendor/sb-admin-2/sb-admin-2.min.js HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [09/Nov/2017:19:48:04 +0800] "GET /DataStructureHelper/static/vendor/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 76518
